AFUA_3G11330_nca	AFUA_4G12040
AFUA_3G11330_nca	AFUA_4G11110
AFUA_3G11330_nca	AFUA_4G10290
AFUA_3G11330_nca	AFUA_4G07860
AFUA_3G11330_nca	AFUA_4G05900
AFUA_3G11330_nca	AFUA_4G03730
AFUA_3G11330_nca	AFUA_4G03480
AFUA_3G11330_nca	AFUA_4G00860
AFUA_3G11330_nca	AFUA_3G14260
AFUA_3G11330_nca	AFUA_3G10480
AFUA_3G11330_nca	AFUA_3G09990
AFUA_3G11330_nca	AFUA_3G09830
AFUA_3G11330_nca	AFUA_3G07300
AFUA_3G11330_nca	AFUA_3G03940
AFUA_3G11330_nca	AFUA_3G01790
AFUA_3G11330_nca	AFUA_2G15810
AFUA_3G11330_nca	AFUA_2G15690
AFUA_3G11330_nca	AFUA_2G15430
AFUA_3G11330_nca	AFUA_2G14040
AFUA_3G11330_nca	AFUA_2G02480
AFUA_3G11330_nca	AFUA_2G02310
AFUA_3G11330_nca	AFUA_2G00790
AFUA_3G11330_nca	AFUA_1G17370
AFUA_3G11330_nca	AFUA_1G13560
AFUA_3G11330_nca	AFUA_1G13550
AFUA_3G11330_nca	AFUA_1G12940
AFUA_3G11330_nca	AFUA_1G09980
AFUA_3G11330_nca	AFUA_1G09890
AFUA_3G11330_nca	AFUA_1G07350
AFUA_3G11330_nca	AFUA_1G04310
AFUA_3G11330_nca	AFUA_1G04300
AFUA_3G11330_nca	AFUA_1G03090
AFUA_3G11330_nca	AFUA_1G00520
AFUA_3G11330	AFUA_3G12530
AFUA_3G11170	AFUA_8G05710
AFUA_3G11170	AFUA_5G10540
AFUA_3G11170	AFUA_5G02480
AFUA_3G11170	AFUA_3G12330
AFUA_3G11170	AFUA_2G15000
AFUA_3G11170	AFUA_1G09580
AFUA_3G10560	AFUA_3G10570
AFUA_3G10240	AFUA_5G11900
AFUA_3G10120	AFUA_5G03660
AFUA_3G10120	AFUA_3G10150
AFUA_3G09130	AFUA_3G09140
AFUA_3G08400	AFUA_7G03820
AFUA_3G08050	AFUA_5G13160
AFUA_3G08050	AFUA_5G01880
AFUA_3G08050	AFUA_4G13900
AFUA_3G08050	AFUA_2G05880
AFUA_3G08050	AFUA_1G17470
AFUA_3G08050	AFUA_1G12850
AFUA_3G08050	AFUA_1G04870
